School,OPts,OPCmp,OPAtt,OPPct,OPYds,OPTD,ORAtt,ORYds,ORAvg,ORTD,OPlays,OYds,OAvg,FPass,FRush,FPen,FTot,ONo.,OPenYds,OFum,OInt,OTot
Alabama,33.6,14.4,23.1,62.3,226.0,1.6,40.0,162.4,4.1,2.3,63.1,388.4,6.2,9.1,9.4,1.5,20.0,6.1,50.7,0.4,0.6,1.0
Arkansas,26.1,17.7,27.2,65.1,196.5,1.8,37.7,121.8,3.2,0.7,64.9,318.3,4.9,8.2,7.5,1.4,17.1,6.3,53.7,0.5,0.8,1.3
Auburn,29.3,14.7,23.9,61.5,164.4,1.5,41.0,207.2,5.1,1.9,64.9,371.6,5.7,6.7,11.0,1.4,19.1,5.3,43.1,0.4,0.9,1.3
Florida,29.5,25.5,34.8,73.3,278.6,1.8,33.7,139.1,4.1,1.8,68.5,417.7,6.1,12.7,8.1,1.6,22.4,6.2,45.7,0.6,0.3,0.9
Georgia,40.6,24.9,34.8,71.6,323.9,2.0,34.4,180.9,5.3,2.8,69.2,504.8,7.3,14.5,9.6,1.6,25.7,4.4,42.0,0.4,0.6,1.0
Kentucky,29.1,16.6,29.1,57.0,206.8,1.9,26.4,136.5,5.2,1.4,55.5,343.3,6.2,9.5,6.0,2.1,17.6,6.8,56.4,0.4,0.8,1.2
LSU,45.9,21.4,31.2,68.6,336.3,3.1,35.4,223.9,6.3,2.8,66.6,560.2,8.4,13.7,10.5,2.1,26.3,6.3,50.2,0.3,0.4,0.7
Mississippi State,21.4,16.4,28.2,58.2,183.1,1.3,32.8,142.7,4.4,1.0,61.0,325.8,5.3,8.7,6.6,1.2,16.5,6.5,56.1,0.4,1.0,1.4
Missouri,32.8,20.5,30.3,67.7,283.9,1.9,36.8,159.8,4.3,1.9,67.1,443.7,6.6,11.8,9.2,1.6,22.6,7.2,54.4,0.2,0.7,0.9
Ole Miss,36.6,18.8,29.1,64.6,285.2,1.8,40.2,181.0,4.5,2.6,69.3,466.2,6.7,11.5,9.9,1.2,22.6,7.5,63.1,0.1,0.6,0.7
South Carolina,28.8,24.8,35.3,70.3,301.7,1.9,31.2,91.4,2.9,1.6,66.5,393.1,5.9,12.4,5.0,1.4,18.8,7.3,54.1,0.4,0.7,1.1
Tennessee,32.0,20.2,31.3,64.5,241.5,1.7,37.8,213.3,5.6,1.7,69.1,454.8,6.6,10.2,10.6,0.7,21.5,8.5,72.5,0.6,0.5,1.1
Texas A&M,34.2,21.1,33.2,63.6,258.1,1.9,34.7,142.6,4.1,1.7,67.9,400.7,5.9,11.4,8.4,2.4,22.2,6.8,51.6,0.4,0.7,1.1
Vanderbilt,22.7,17.8,32.5,54.7,223.3,1.9,29.0,96.8,3.3,0.8,61.5,320.1,5.2,9.0,5.7,1.8,16.5,4.5,38.8,0.6,1.1,1.7
