School,OPts,OPCmp,OPAtt,OPPct,OPYds,OPTD,ORAtt,ORYds,ORAvg,ORTD,OPlays,OYds,OAvg,FPass,FRush,FPen,FTot,ONo.,OPenYds,OFum,OInt,OTot
Alabama,39.9,25.3,38.1,66.5,338.2,3.2,36.5,150.1,4.1,1.4,74.5,488.3,6.6,14.3,8.7,1.5,24.4,7.1,65.9,0.5,0.5,0.9
Arkansas,30.9,15.8,24.2,65.3,213.9,1.7,44.7,229.4,5.1,2.0,68.8,443.3,6.4,8.0,12.5,1.4,21.8,8.0,63.5,0.4,0.4,0.8
Auburn,28.3,20.5,34.8,58.9,240.1,1.3,33.8,162.4,4.8,1.7,68.7,402.5,5.9,10.9,8.5,1.5,20.9,5.7,46.4,0.6,0.3,0.9
Florida,30.7,20.4,32.0,63.7,254.2,2.0,37.8,209.9,5.5,1.9,69.8,464.1,6.6,11.4,9.6,1.2,22.2,8.1,71.0,0.2,1.4,1.6
Georgia,38.6,17.6,27.1,64.9,251.9,2.6,36.1,191.2,5.3,1.9,63.2,443.1,7.0,10.9,10.0,1.8,22.7,5.1,43.2,0.3,0.8,1.1
Kentucky,32.3,18.6,28.2,66.1,225.6,1.8,37.8,199.8,5.3,2.1,65.9,425.4,6.5,10.5,10.8,1.5,22.8,4.8,42.2,0.8,1.0,1.8
LSU,26.5,20.2,34.1,59.1,254.5,2.5,34.2,114.5,3.4,0.7,68.2,368.9,5.4,10.8,7.0,1.6,19.4,4.3,34.3,0.4,0.8,1.2
Mississippi State,29.1,39.8,54.2,73.6,378.3,2.8,20.8,63.2,3.0,0.8,74.9,441.5,5.9,18.2,5.4,2.2,25.7,7.5,57.2,0.7,0.7,1.4
Missouri,29.1,23.2,34.9,66.3,233.5,1.4,35.6,180.3,5.1,1.6,70.5,413.8,5.9,10.7,9.1,1.9,21.7,6.4,59.2,0.2,0.8,1.0
Ole Miss,33.7,22.0,33.0,66.7,274.8,1.6,45.2,218.0,4.8,2.5,78.2,492.8,6.3,12.0,12.5,1.6,26.1,9.1,75.6,0.3,0.5,0.8
South Carolina,22.6,16.2,27.7,58.6,201.2,1.7,35.8,137.2,3.8,0.7,63.5,338.3,5.3,8.1,8.0,1.7,17.8,5.8,45.9,1.0,0.8,1.8
Tennessee,39.3,18.7,28.9,64.6,257.1,2.5,44.3,218.2,4.9,2.3,73.2,475.3,6.5,9.6,12.5,2.2,24.3,6.8,60.6,0.8,0.2,1.0
Texas A&M,29.3,17.3,30.8,56.4,208.6,1.6,34.3,183.8,5.4,1.4,65.1,392.4,6.0,9.9,9.8,1.3,21.0,6.4,55.1,0.3,1.1,1.3
Vanderbilt,15.8,18.8,34.1,55.3,189.3,1.1,35.3,123.5,3.5,0.7,69.3,312.8,4.5,8.7,7.0,1.9,17.6,5.5,44.0,0.4,1.2,1.6
