School,DPts,DPCmp,DPAtt,DPPct,DPYds,DPTD,DRAtt,DRYds,DRAvg,DRTD,DPlays,DYds,DAvg,DFPass,DFRush,DFPen,DFTot,DNo.,DpenYds,DTFum,DTInt,DTO
Alabama,18.2,18.3,33.4,54.8,187.8,0.9,35.9,130.4,3.6,1.2,69.3,318.2,4.6,8.8,7.2,2.6,18.5,6.7,51.0,0.5,0.5,1.1
Arkansas,30.6,21.2,34.5,61.2,294.7,1.8,37.5,170.5,4.6,2.0,72.0,465.2,6.5,12.0,8.6,2.1,22.7,7.2,59.0,0.7,0.7,1.4
Auburn,29.5,19.8,34.3,57.8,222.7,1.3,37.3,172.7,4.6,2.3,71.6,395.3,5.5,10.0,9.1,1.4,20.5,7.6,58.3,0.6,0.5,1.1
Florida,28.8,18.5,30.5,60.6,235.8,1.3,39.0,175.2,4.5,2.2,69.5,411.0,5.9,10.8,10.4,1.6,22.8,5.6,44.4,1.2,0.7,1.8
Georgia,14.3,19.6,34.1,57.5,219.7,1.0,26.7,77.1,2.9,0.5,60.8,296.8,4.9,9.4,4.5,1.6,15.5,5.5,40.8,0.5,0.8,1.3
Kentucky,19.2,15.8,26.7,59.4,170.8,0.8,33.3,140.6,4.2,1.2,60.0,311.4,5.2,7.5,6.6,1.0,15.2,5.7,49.5,0.5,0.8,1.3
LSU,22.5,16.9,30.2,55.8,206.2,1.2,36.2,148.4,4.1,1.3,66.4,354.6,5.3,9.1,8.4,1.4,18.9,5.9,56.4,0.8,0.6,1.4
Mississippi State,23.1,19.5,32.5,59.8,210.3,1.2,34.3,134.2,3.9,1.5,66.8,344.5,5.2,8.5,7.4,2.5,18.4,6.5,49.5,0.7,1.1,1.8
Missouri,25.2,18.1,30.3,59.6,214.4,1.4,34.4,125.5,3.7,1.5,64.7,339.9,5.3,8.9,7.5,2.2,18.6,5.4,42.5,0.5,0.8,1.4
Ole Miss,25.5,21.1,33.2,63.6,219.8,1.7,39.7,168.0,4.2,1.4,72.8,387.8,5.3,9.8,9.6,1.8,21.3,5.9,47.1,0.9,0.6,1.5
South Carolina,28.8,16.7,31.1,53.7,206.7,1.8,40.2,198.0,4.9,1.8,71.2,404.7,5.7,9.4,10.7,2.4,22.5,6.5,54.0,0.6,1.2,1.8
Tennessee,22.8,25.6,40.9,62.6,289.5,1.6,35.3,115.8,3.3,1.2,76.2,405.3,5.3,13.7,7.4,2.5,23.6,8.5,67.4,0.8,0.8,1.6
Texas A&M,21.2,15.3,27.3,56.3,156.2,1.3,43.3,208.8,4.8,1.1,70.6,365.0,5.2,7.9,10.8,2.1,20.8,7.0,60.9,1.0,0.3,1.3
Vanderbilt,36.0,21.4,33.3,64.4,290.5,2.4,33.1,170.8,5.2,2.1,66.3,461.3,7.0,12.1,7.5,1.8,21.3,6.0,54.8,0.8,0.5,1.3
