School,DPts,DPCmp,DPAtt,DPPct,DPYds,DPTD,DRAtt,DRYds,DRAvg,DRTD,DPlays,DYds,DAvg,DFPass,DFRush,DFPen,DFTot,DNo.,DpenYds,DTFum,DTInt,DTO
Alabama,20.1,19.8,31.4,63.1,218.1,1.7,32.3,84.9,2.6,0.6,63.7,302.9,4.8,9.3,5.7,2.6,17.7,6.8,49.4,0.3,1.0,1.3
Arkansas,22.9,17.4,29.8,58.4,213.8,1.2,38.2,153.9,4.0,1.3,67.9,367.7,5.4,9.1,7.9,2.2,19.2,6.5,47.4,0.3,1.0,1.3
Auburn,21.8,22.2,34.6,64.2,245.6,1.8,35.5,129.3,3.6,0.6,70.2,374.9,5.3,11.8,6.7,1.6,20.2,5.3,43.9,0.2,0.7,0.9
Florida,26.8,17.4,30.5,57.1,203.9,1.4,36.7,163.9,4.5,1.4,67.2,367.8,5.5,9.1,8.6,2.6,20.3,5.2,43.0,0.3,0.7,1.0
Georgia,10.2,19.0,33.8,56.2,189.7,0.7,30.9,78.9,2.6,0.2,64.7,268.5,4.2,7.9,5.4,1.5,14.8,6.6,51.3,0.3,1.1,1.4
Kentucky,21.7,20.6,31.0,66.5,218.6,1.5,30.8,122.2,4.0,0.9,61.8,340.8,5.5,10.6,6.3,1.7,18.6,5.9,45.6,0.2,0.7,0.9
LSU,26.6,20.8,32.5,64.2,236.8,2.2,35.5,142.5,4.0,1.2,68.0,379.3,5.6,10.9,7.9,1.0,19.8,5.5,45.4,0.3,0.6,0.9
Mississippi State,25.9,19.7,30.8,63.8,231.8,1.5,31.2,113.4,3.6,1.2,62.1,345.2,5.6,9.3,6.5,1.1,16.8,6.9,55.9,0.4,0.8,1.2
Missouri,33.8,15.1,25.3,59.6,206.8,1.8,42.8,227.8,5.3,2.4,68.2,434.6,6.4,8.8,12.0,2.0,22.8,5.0,43.6,0.4,0.8,1.2
Ole Miss,24.7,20.7,33.9,61.0,230.0,1.1,42.2,190.4,4.5,1.9,76.2,420.4,5.5,11.0,11.1,2.8,24.9,6.4,53.5,0.8,0.8,1.6
South Carolina,24.0,15.1,25.9,58.2,180.8,1.2,37.3,175.0,4.7,1.4,63.2,355.8,5.6,7.9,9.5,1.1,18.5,4.6,42.6,0.7,1.2,1.8
Tennessee,29.1,23.1,37.7,61.2,273.2,1.8,40.1,148.5,3.7,1.8,77.8,421.7,5.4,12.0,9.0,1.6,22.5,6.8,60.3,0.2,1.0,1.2
Texas A&M,15.9,19.3,33.4,57.9,192.7,1.1,36.7,135.9,3.7,0.5,70.1,328.6,4.7,9.0,8.2,1.8,19.0,5.9,46.9,0.4,0.8,1.3
Vanderbilt,35.8,21.4,32.7,65.6,264.3,2.4,34.8,193.7,5.6,1.8,67.4,457.9,6.8,11.2,9.6,1.3,22.0,7.6,66.9,0.3,1.1,1.3
